City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,lielvarde,56.7207,24.8074,27.41,96,100,8.32,LV,Mon Dec 11 10:58:52 2023
166,la passe,45.5549,-0.8967,57.43,97,100,14.5,FR,Mon Dec 11 10:58:52 2023
167,kone,-21.0595,164.8658,72.09,76,94,3.65,NC,Mon Dec 11 10:58:52 2023
168,cabo san lucas,22.8909,-109.9124,78.76,63,0,3.74,MX,Mon Dec 11 10:55:47 2023
169,taroa,8.7058,171.2275,81.36,71,99,20.78,MH,Mon Dec 11 10:58:52 2023
170,bredasdorp,-34.5322,20.0403,71.33,45,0,12.75,ZA,Mon Dec 11 10:58:52 2023
171,tamanrasset,22.785,5.5228,73.31,14,0,17.27,DZ,Mon Dec 11 10:58:52 2023
172,egilsstadir,65.2653,-14.3948,24.71,74,0,9.22,IS,Mon Dec 11 10:58:52 2023
173,ambodifotatra,-16.9833,49.85,84.25,79,75,4.61,MG,Mon Dec 11 10:58:52 2023
174,bure,10.7,37.0667,63.72,51,100,4.54,ET,Mon Dec 11 10:58:53 2023
175,petawawa,45.9001,-77.3328,26.19,83,100,13.8,CA,Mon Dec 11 10:58:53 2023
176,at taj,24.2049,23.2857,60.3,54,0,10.69,LY,Mon Dec 11 10:58:53 2023
177,piacabucu,-10.4056,-36.4344,86.52,55,18,14.5,BR,Mon Dec 11 10:58:53 2023
178,salalah,17.0151,54.0924,78.89,47,0,1.14,OM,Mon Dec 11 10:54:55 2023
179,ust-nera,64.5667,143.2,-6.03,99,100,8.88,RU,Mon Dec 11 10:58:53 2023
180,hasaki,35.7333,140.8333,54.28,75,100,9.1,JP,Mon Dec 11 10:58:53 2023
181,damghan,36.1683,54.348,48.13,66,85,3.38,IR,Mon Dec 11 10:58:53 2023
182,tralee,52.2704,-9.7026,53.85,87,20,6.91,IE,Mon Dec 11 10:58:54 2023
183,malango,-2.9627,119.9001,68.94,97,100,2.48,ID,Mon Dec 11 10:58:54 2023
184,qaqortoq,60.7167,-46.0333,27.57,92,100,16.78,GL,Mon Dec 11 10:58:54 2023
185,plastun,44.7561,136.2939,7.54,55,99,10.54,RU,Mon Dec 11 10:58:54 2023
186,arno,60.1167,18.6333,29.79,86,100,13.33,SE,Mon Dec 11 10:58:54 2023
187,ryazanskaya,44.9553,39.5889,42.46,80,100,11.68,RU,Mon Dec 11 10:58:54 2023
188,san julian,21.0167,-102.1667,54.45,65,100,6.42,MX,Mon Dec 11 10:58:54 2023
189,stanley,54.868,-1.6985,41.79,91,20,4.61,GB,Mon Dec 11 10:58:55 2023
190,lazaro cardenas,17.9583,-102.2,81.63,57,98,10.83,MX,Mon Dec 11 10:58:55 2023
191,richards bay,-28.783,32.0377,68.31,96,100,2.82,ZA,Mon Dec 11 10:58:55 2023
192,xichang,27.8964,102.2634,48.72,77,1,2.24,CN,Mon Dec 11 10:58:55 2023
193,clovis,36.8252,-119.7029,53.67,90,20,0.0,US,Mon Dec 11 10:56:25 2023
194,sinabang,2.4803,96.3801,79.09,82,80,2.71,ID,Mon Dec 11 10:58:55 2023
195,pavlohrad,48.5167,35.8667,34.86,100,100,5.91,UA,Mon Dec 11 10:58:55 2023
196,buta,2.7858,24.73,81.97,65,57,2.01,CD,Mon Dec 11 10:58:55 2023
197,dong ha,16.8163,107.1003,72.84,96,20,0.54,VN,Mon Dec 11 10:58:56 2023
198,francisco i. madero,29.7059,-107.8043,53.98,17,4,5.23,MX,Mon Dec 11 10:58:56 2023
199,murghob,38.1702,73.9667,7.25,66,46,7.58,TJ,Mon Dec 11 10:58:56 2023
200,la ronge,55.1001,-105.2842,14.25,67,100,25.32,CA,Mon Dec 11 10:58:56 2023
201,dalandzadgad,43.5708,104.425,22.03,53,100,0.83,MN,Mon Dec 11 10:58:56 2023
202,phnom penh,11.5625,104.916,85.91,70,20,2.3,KH,Mon Dec 11 10:58:56 2023
203,punta arenas,-53.15,-70.9167,50.11,46,100,11.5,CL,Mon Dec 11 10:58:56 2023
204,crane,31.3974,-102.3501,50.86,21,3,3.31,US,Mon Dec 11 10:58:56 2023
205,sitka,57.0531,-135.33,42.69,75,100,14.97,US,Mon Dec 11 10:58:57 2023
